,ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved
0,415,Female,White,62,Over 60,176718.65,797,100269,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
1,334,Male,White,49,25-60,112291.36,728,278731,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
2,4658,Female,Hispanic,58,25-60,125001.5,711,414326,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional,Approved
3,1794,Female,White,41,25-60,142671.38,743,414801,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
4,9101,Male,White,32,25-60,194261.5,751,298557,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
5,5392,Male,White,34,25-60,149661.18,703,148771,Unemployed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
6,9528,Male,Asian,61,Over 60,57010.18,721,180354,Full-time,High School,Permanent Resident,Limited,No,No,High-income Suburban,Denied
7,8426,Female,White,31,25-60,27668.99,566,354978,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Denied
8,9154,Male,White,60,25-60,115179.98,726,385262,Full-time,High School,Visa Holder,Fluent,No,No,Urban Professional,Approved
9,6241,Female,White,32,25-60,112130.91,685,328522,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
10,7668,Male,White,74,Over 60,134039.55,767,171774,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
11,749,Female,White,25,25-60,276860.42,707,224126,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
12,6152,Male,Asian,70,Over 60,35948.44,682,330448,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
13,534,Female,Black,61,Over 60,71669.76,730,129939,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
14,9215,Female,White,27,25-60,161456.35,671,202187,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
15,9557,Male,Hispanic,53,25-60,55379.26,694,114337,Part-time,Some College,Citizen,Fluent,Yes,No,Historically Redlined,Approved
16,7241,Male,White,49,25-60,255257.73,731,435131,Full-time,Graduate,Visa Holder,Fluent,Yes,No,Urban Professional,Approved
17,6849,Female,Hispanic,73,Over 60,51301.1,656,241204,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Denied
18,2259,Female,Black,35,25-60,57178.56,707,442705,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,Approved
19,6691,Male,White,65,Over 60,79368.18,746,263250,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Approved
20,6204,Female,White,39,25-60,252379.48,705,245421,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
21,4626,Female,Asian,58,25-60,132979.2,755,113803,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
22,8511,Female,White,71,Over 60,129780.05,713,163934,Full-time,Bachelor's,Citizen,Limited,No,Yes,High-income Suburban,Approved
23,9692,Female,Multiracial,64,Over 60,70098.83,669,285855,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,Denied
24,9703,Male,White,33,25-60,140458.61,772,199176,Self-employed,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
25,6593,Female,White,23,Under 25,50864.35,630,287897,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
26,7311,Female,White,52,25-60,41960.2,720,133470,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Approved
27,7691,Female,White,52,25-60,109974.88,744,439111,Full-time,Bachelor's,Visa Holder,Limited,No,No,Urban Professional,Approved
28,757,Female,White,66,Over 60,103224.86,781,431963,Part-time,Some College,Permanent Resident,Fluent,No,No,Urban Professional,Approved
29,3144,Male,White,71,Over 60,185706.66,755,423220,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,Approved
30,3999,Female,Black,73,Over 60,65165.84,744,427337,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
31,393,Male,White,40,25-60,346262.67,730,222956,Full-time,Graduate,Citizen,Fluent,Yes,No,High-income Suburban,Approved
32,9126,Male,White,43,25-60,83247.99,748,217506,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
33,791,Male,White,25,25-60,30056.14,636,444488,Full-time,Some College,Citizen,Fluent,No,Yes,Working Class Urban,Denied
34,8713,Male,White,34,25-60,102889.45,760,99166,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
35,2338,Male,Hispanic,48,25-60,35980.66,676,353945,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
36,3435,Male,White,52,25-60,50655.09,638,219809,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
