dominant_biome,air,andesite,cave_air,clay,deepslate,diamond_ore,diorite,dirt,granite,grass_block,gravel,kelp_plant,lava,moss_block,sand,seagrass,short_grass,stone,tall_seagrass,tuff,water
cold_ocean,66914,1086,4,1044,12705,0,874,309,768,0,710,0,1,38,0,27,0,7755,30,1426,3509
cold_ocean,67433,1274,0,1085,11478,0,794,275,893,0,511,340,0,260,0,16,0,7727,16,785,4174
cold_ocean,67102,873,18,596,13023,0,1072,407,817,0,576,150,0,38,0,22,6,7193,14,1105,4202
cold_ocean,67086,1174,139,499,13015,0,857,121,1268,0,592,0,0,208,96,21,34,7213,16,887,3825
cold_ocean,66035,1003,0,807,13670,0,666,400,1136,0,515,0,0,2,1,9,1,7837,0,1269,3889
cold_ocean,65999,907,0,1208,14617,0,443,166,1174,0,570,0,0,0,36,40,0,7621,18,499,3923
cold_ocean,66122,983,0,505,14217,0,1026,242,599,0,663,0,0,42,1,30,0,7769,26,1005,4014
cold_ocean,65959,664,0,379,14354,0,828,172,1410,0,897,0,0,0,0,17,0,7989,18,1217,3362
cold_ocean,68732,753,102,1001,10591,0,860,455,936,0,471,211,0,477,79,20,56,9432,20,300,2380
cold_ocean,69517,1378,62,712,10078,0,1282,831,954,0,796,0,0,336,150,11,39,8508,26,461,1955
cold_ocean,68345,1103,105,378,11555,0,843,160,1030,0,503,82,1,158,20,17,13,6828,4,1049,4922
cold_ocean,67769,636,341,416,12227,0,609,289,784,0,589,0,0,0,109,14,0,7216,18,763,5323
beach,69237,869,507,385,9860,0,780,239,1211,0,365,0,283,283,182,22,15,8604,28,1163,2754
beach,68732,1453,280,139,10425,0,1262,327,987,0,656,0,0,436,222,0,34,7685,0,1116,3235
beach,68042,623,137,744,12300,0,858,384,1030,0,562,0,0,190,1053,1,11,7452,2,655,2863
cold_ocean,67532,714,0,370,12565,0,158,249,1181,0,597,0,29,212,45,20,18,8793,28,1003,3646
cold_ocean,67287,1220,0,941,11989,0,936,210,1083,0,321,0,0,416,0,21,71,7743,20,963,3852
cold_ocean,66324,816,0,1184,13721,0,904,186,656,0,945,0,0,69,3,26,5,7860,12,503,4053
cold_ocean,66525,857,0,732,13246,0,1199,157,1130,0,897,0,0,31,4,8,5,6909,8,1340,4080
cold_ocean,66875,1717,0,1000,12594,7,286,162,581,0,966,78,1,190,0,24,21,7402,26,1274,3987
cold_ocean,68028,901,0,505,11161,1,571,201,796,0,1006,221,1,566,0,17,85,7529,4,1131,4192
cold_ocean,66327,1268,0,525,13643,0,781,108,666,0,663,0,0,140,8,24,17,7625,26,1300,4122
cold_ocean,66351,782,0,895,14025,0,596,236,1517,0,710,0,0,2,0,15,1,7837,12,838,3403
cold_ocean,67048,889,0,865,12906,2,248,242,1139,0,596,0,0,149,92,16,57,10081,22,469,2317
cold_ocean,66953,1347,0,803,13461,0,1019,832,1053,0,634,0,0,92,198,22,28,8100,12,549,2097
cold_ocean,66026,1271,0,406,13980,0,1307,1030,953,0,804,0,0,11,235,16,6,8641,12,1021,1460
cold_ocean,66065,1387,0,207,14167,0,1510,929,928,0,925,0,0,22,264,21,8,8137,22,904,1767
cold_ocean,66643,769,0,768,12620,0,963,543,1095,0,404,0,1,80,56,26,0,7192,20,1404,4625
cold_ocean,68070,1152,385,664,11443,0,675,426,1048,0,284,0,4,50,110,20,6,7184,24,1035,4500
cold_ocean,69726,898,670,432,9420,0,1235,433,538,0,532,0,199,220,265,21,0,8784,24,885,2733
river,71438,366,506,235,8079,4,462,212,388,0,624,15,145,107,0,17,0,5093,20,751,8710
river,67092,1338,379,658,12174,0,408,349,1002,0,858,0,206,129,17,31,10,6454,26,698,5326
river,67609,760,142,241,12353,0,1433,209,478,0,445,0,2,256,0,18,2,7483,24,1166,4486
beach,66918,1236,98,702,13133,10,693,351,1176,0,369,0,0,37,737,4,8,6948,0,993,3491
beach,68270,1398,0,780,11650,0,399,206,464,0,373,0,0,204,527,3,28,6908,4,944,4903
cold_ocean,67675,936,0,1099,11361,0,692,424,857,0,317,0,0,316,139,19,23,7952,20,835,4364
cold_ocean,67829,768,0,478,11616,1,654,239,572,0,612,0,0,364,0,22,44,7664,12,1262,5037
cold_ocean,66812,621,0,684,12207,0,846,214,1221,0,362,0,0,271,0,33,65,6610,20,1084,6061
cold_ocean,67374,743,0,1121,11383,0,1533,408,731,0,750,21,0,323,0,16,54,6501,14,1340,4834
cold_ocean,66790,1385,0,856,13100,0,560,191,1062,0,556,214,0,348,0,10,66,7119,16,899,3961
cold_ocean,68426,1243,0,876,10929,0,763,269,861,0,998,319,0,524,0,17,99,6564,20,1342,3791
cold_ocean,68756,1521,0,1507,9849,0,613,159,1319,0,752,293,1,725,0,21,124,6409,14,853,3953
cold_ocean,67596,896,0,1404,11500,0,696,104,623,0,705,0,0,396,8,14,41,7379,2,1250,4439
cold_ocean,67825,1167,0,1368,12130,0,290,123,952,0,831,0,0,429,0,18,16,7178,24,223,4480
cold_ocean,69412,1269,0,588,10215,0,1096,183,456,0,759,0,0,409,0,9,5,6791,8,1223,4619
cold_ocean,66295,545,0,650,13211,0,1182,0,722,0,582,0,0,136,0,26,16,8936,28,877,4000
cold_ocean,65838,1122,0,537,14382,0,139,187,833,0,581,0,0,0,0,10,0,9435,8,1510,2624
cold_ocean,65949,1219,0,422,14154,0,1262,593,1234,0,290,0,0,39,331,12,3,8412,16,1380,1876
cold_ocean,66357,954,0,650,12906,0,727,865,1523,0,355,0,0,3,157,26,1,9592,26,1710,1317
cold_ocean,65809,1118,0,611,14023,0,735,860,882,0,231,0,0,0,283,31,0,9837,18,1060,1542
cold_ocean,66025,1173,0,222,13798,0,1064,1008,687,0,810,18,0,0,210,12,0,8404,18,1673,1963
cold_ocean,67120,1104,0,250,13559,0,571,1100,1327,0,354,22,0,309,276,12,36,8081,12,1026,1871
cold_ocean,67384,1299,151,578,12762,0,723,811,847,0,421,20,0,351,251,14,41,7566,30,540,3262
cold_ocean,68693,977,376,209,10444,11,990,359,1355,0,438,0,43,355,77,10,32,7427,10,1026,3948
cold_ocean,67878,890,166,414,11634,0,737,256,811,0,617,0,65,112,246,32,3,9245,24,688,3230
cold_ocean,68354,818,186,463,11184,0,593,99,877,0,480,33,220,28,0,19,1,4093,18,709,9029
cold_ocean,66268,551,1157,603,12023,0,580,75,770,0,510,283,7,103,0,9,6,3527,10,1340,9329
cold_ocean,66431,700,798,288,12603,0,1211,11,28,0,360,175,3,235,0,4,34,3364,16,1030,9755
river,66712,547,403,658,12917,0,600,265,947,0,336,0,237,180,89,1,23,5116,0,795,7327
river,66062,956,260,565,12981,0,201,404,385,0,787,0,0,29,229,21,0,6874,38,1229,6115
river,67328,822,224,789,13943,0,451,293,416,0,763,0,2,0,452,15,0,6327,16,886,4345
beach,67032,1017,62,512,13620,1,513,305,687,0,639,0,25,0,1022,9,0,6228,4,1319,4097
cold_ocean,66888,1199,0,1302,12821,0,861,693,579,0,524,26,0,0,131,10,0,6602,10,1751,3869
cold_ocean,66271,734,0,784,14431,8,1106,256,1064,0,544,0,0,0,0,20,0,6325,20,1140,4609
cold_ocean,66439,456,0,946,13974,0,1090,235,521,0,634,0,21,44,11,20,0,6786,16,1323,4743
cold_ocean,66138,245,0,1007,13742,0,690,223,397,0,569,0,0,111,0,23,0,7517,24,1187,5352
cold_ocean,66800,136,0,510,13149,0,843,123,800,0,508,0,0,249,0,24,33,5091,6,1265,6998
cold_ocean,66915,776,0,828,12679,0,411,308,73,0,554,17,0,24,0,22,7,6180,18,1581,6740
cold_ocean,66906,884,0,925,13229,0,10,143,513,0,689,390,1,87,0,7,9,8018,22,1201,4117
cold_ocean,67403,931,0,684,12109,0,612,105,1152,0,543,316,0,424,0,29,54,7537,8,918,4162
cold_ocean,67311,754,0,758,12637,0,1316,108,844,0,610,225,1,478,0,27,58,7004,18,715,4154
cold_ocean,67512,1218,0,671,11990,0,627,122,942,0,700,0,0,287,18,22,40,7714,16,1186,4106
cold_ocean,68116,560,0,480,12318,0,356,163,1235,0,773,0,0,154,2,21,16,8043,24,688,4247
cold_ocean,65979,533,0,768,14459,0,883,279,1041,0,662,0,0,11,16,11,1,7507,14,971,4110
cold_ocean,66714,860,0,832,13500,0,1069,96,831,0,796,0,0,125,0,20,28,7374,18,710,4250
cold_ocean,67150,652,0,550,12696,0,617,226,1156,0,565,0,84,229,0,32,17,7920,38,687,4512
cold_ocean,67458,1145,0,191,9506,0,1222,42,879,0,388,19,0,215,0,24,12,8961,18,1186,5910
cold_ocean,67853,1606,0,265,11349,2,1116,687,545,0,329,30,0,220,83,19,0,7884,22,303,4870
cold_ocean,67957,903,0,501,10844,0,935,898,944,0,321,16,0,362,107,13,9,8237,10,861,4241
cold_ocean,69779,369,0,246,9994,0,1123,653,1111,0,418,0,0,696,196,31,97,9614,18,652,1886
cold_ocean,66825,502,0,465,13231,0,751,863,405,0,625,0,0,308,159,16,38,10091,14,1038,1839
cold_ocean,66376,1415,0,164,13485,0,1137,978,1271,0,555,4,0,56,365,13,0,8158,10,1041,1855
cold_ocean,66288,1122,0,170,12611,4,1112,738,1146,0,464,55,0,0,270,11,0,8425,14,1652,1540
cold_ocean,66846,1363,0,0,14053,0,1123,1020,840,0,444,196,0,0,253,13,0,8218,22,933,1710
cold_ocean,67496,918,113,173,12671,0,771,789,1245,0,406,175,1,306,238,17,41,7960,30,914,2700
cold_ocean,69247,916,306,259,11344,0,524,802,991,0,393,164,0,228,110,32,30,7959,20,372,3260
cold_ocean,68253,352,373,314,11523,0,1384,567,1608,0,621,0,209,8,24,21,3,7653,26,853,3309
cold_ocean,67099,1040,258,77,12810,0,820,474,986,0,643,0,275,0,166,22,0,7588,8,1046,3818
cold_ocean,66587,1214,342,495,12452,0,960,351,1153,0,707,0,430,0,38,21,0,7481,18,915,2894
cold_ocean,65792,780,461,95,13930,0,1039,213,972,0,667,207,12,0,11,24,0,7229,18,1214,4443
beach,66106,962,495,0,14771,0,966,210,1065,0,528,18,1,0,538,0,0,8344,0,565,2309
beach,66003,876,743,155,12996,0,825,207,755,0,678,77,0,45,52,3,5,7332,2,1220,5063
cold_ocean,66757,333,780,310,11987,8,856,0,520,0,570,35,0,166,0,0,14,5263,2,1514,8115
beach,66144,1040,365,475,13466,0,1190,180,436,0,402,0,173,79,0,0,6,5937,0,1345,5894
beach,67269,652,39,1018,13776,2,903,259,1071,0,549,0,18,38,189,5,0,6799,20,839,3653
river,67172,1174,0,573,13705,0,994,132,835,0,665,0,33,7,25,15,1,5524,18,801,3829
beach,66648,1090,0,518,13990,0,746,447,937,0,699,80,21,6,460,17,3,6982,22,1471,2861
cold_ocean,66921,487,0,1459,13946,0,615,292,994,0,564,227,0,0,0,10,0,7037,18,1020,3654
cold_ocean,67604,401,0,1016,14247,0,912,161,627,2,378,84,0,0,0,17,0,6415,12,1199,4216
cold_ocean,67440,480,0,855,14680,0,592,99,733,29,605,4,0,8,50,18,0,6609,10,918,4086
cold_ocean,66436,1254,0,786,13444,0,629,309,306,62,473,0,0,46,0,12,3,7199,26,1298,4979
cold_ocean,65862,747,0,1443,13488,0,496,138,963,32,569,0,18,2,0,15,0,7295,14,1076,5049
cold_ocean,65916,738,0,676,13751,0,263,113,720,0,886,0,0,31,0,11,2,7089,16,1260,5789
cold_ocean,67093,134,0,983,11711,0,212,222,273,0,631,0,0,182,0,24,40,3880,14,1241,10652
cold_ocean,67669,198,0,899,11955,0,478,165,181,0,267,22,0,79,10,14,22,2543,18,647,10520
cold_ocean,66055,454,0,603,14581,0,12,239,1007,0,531,192,2,0,2,31,0,7531,14,898,4970
cold_ocean,66451,1181,0,355,14843,1,726,130,1020,0,619,37,1,87,0,20,1,6978,48,681,4088
cold_ocean,66231,715,0,723,13779,3,599,201,1157,0,598,78,0,3,0,20,0,8032,24,1267,3830
cold_ocean,66597,1158,0,920,13822,0,1304,216,701,0,611,64,24,0,0,32,0,7237,64,829,3659
deep_cold_ocean,66535,514,146,658,13240,0,780,186,694,0,819,0,4,67,0,19,0,7575,60,816,5027
deep_cold_ocean,66423,561,0,940,13181,2,414,95,544,0,534,0,24,151,0,6,33,6718,62,1078,6436
cold_ocean,66142,1281,41,1088,13764,0,892,229,560,0,637,0,0,60,0,28,23,7247,24,1142,4005
cold_ocean,66907,989,0,861,12660,0,486,256,451,0,536,0,0,239,0,15,1,7779,26,1413,4546
cold_ocean,66156,1234,0,579,14016,0,221,98,1196,0,596,0,0,61,4,23,0,6462,26,1184,5379
cold_ocean,66046,597,0,505,14013,0,1252,287,503,0,821,0,0,0,0,14,0,7805,8,944,3877
cold_ocean,65907,1082,0,269,13799,0,1376,117,1275,0,750,200,0,0,0,19,0,7957,22,1576,2700
cold_ocean,65969,1191,0,795,14063,0,641,309,941,0,636,279,0,3,24,26,0,6595,22,1010,4661
cold_ocean,66227,1312,0,278,13218,0,956,610,773,0,638,213,167,112,229,16,22,6800,12,1421,4171
cold_ocean,69581,1071,0,62,9677,0,686,459,899,0,731,0,33,875,62,10,110,9296,6,885,2497
cold_ocean,68122,449,0,70,12439,0,1082,428,1024,0,614,0,0,218,1,18,40,7954,16,753,3795
cold_ocean,70722,1155,0,36,9944,0,886,996,1228,0,502,0,1,192,175,39,0,7937,32,758,2602
cold_ocean,69453,610,0,510,10265,0,1074,962,1096,0,386,263,0,69,318,22,2,7963,12,1316,2744
cold_ocean,65975,1264,0,8,13984,0,886,947,1748,0,492,233,0,0,219,25,0,7879,8,1339,1967
cold_ocean,65965,1224,0,12,14920,0,699,426,1119,0,721,238,16,0,41,22,0,8130,18,1205,2253
cold_ocean,66606,1149,0,55,14536,0,1176,204,478,0,516,298,0,0,211,13,0,8792,14,989,2089
