,total_bill,tip,gender,smoker,day,time,size
0,16.99,0.81,Female,No,Sun,Dinner,2
1,10.34,2.05,Male,No,Sun,Dinner,3
2,21.01,3.8899999999999997,Male,No,Sun,Dinner,3
3,23.68,3.6999999999999997,Male,No,Sun,Dinner,2
4,24.59,1.31,Female,No,Sun,Dinner,4
5,25.29,5.1,Male,No,Sun,Dinner,4
6,8.77,2.3899999999999997,Male,No,Sun,Dinner,2
7,26.88,3.51,Male,No,Sun,Dinner,4
8,15.04,2.8899999999999997,Male,No,Sun,Dinner,2
9,14.78,3.6199999999999997,Male,No,Sun,Dinner,2
10,10.27,2.1,Male,No,Sun,Dinner,2
11,35.26,4.8,Female,No,Sun,Dinner,4
12,15.42,4.96,Male,No,Sun,Dinner,2
13,18.43,3.3899999999999997,Male,No,Sun,Dinner,4
14,14.83,2.82,Female,No,Sun,Dinner,2
15,21.58,4.31,Male,No,Sun,Dinner,2
16,10.33,0.8,Female,No,Sun,Dinner,3
17,16.29,4.3,Male,No,Sun,Dinner,3
18,16.97,3.3,Female,No,Sun,Dinner,3
19,20.65,4.74,Male,No,Sat,Dinner,3
20,17.92,4.47,Male,No,Sat,Dinner,2
21,20.29,2.55,Female,No,Sat,Dinner,2
22,15.77,2.03,Female,No,Sat,Dinner,2
23,39.42,7.97,Male,No,Sat,Dinner,4
24,19.82,3.57,Male,No,Sat,Dinner,2
25,17.81,2.73,Male,No,Sat,Dinner,4
26,13.37,2.3899999999999997,Male,No,Sat,Dinner,2
27,12.69,2.3899999999999997,Male,No,Sat,Dinner,2
28,21.7,4.6899999999999995,Male,No,Sat,Dinner,2
29,19.65,2.8,Female,No,Sat,Dinner,2
30,9.55,1.84,Male,No,Sat,Dinner,2
31,18.35,2.8899999999999997,Male,No,Sat,Dinner,4
32,15.06,2.8,Female,No,Sat,Dinner,2
33,20.69,2.25,Female,No,Sat,Dinner,4
34,17.78,3.6599999999999997,Male,No,Sat,Dinner,2
35,24.06,3.9899999999999998,Male,No,Sat,Dinner,3
36,16.31,2.3899999999999997,Male,No,Sat,Dinner,3
37,16.93,2.8699999999999997,Female,No,Sat,Dinner,3
38,18.69,2.6999999999999997,Male,No,Sat,Dinner,3
39,31.27,5.39,Male,No,Sat,Dinner,3
40,16.04,2.63,Male,No,Sat,Dinner,3
41,17.46,2.9299999999999997,Male,No,Sun,Dinner,2
42,13.94,3.4499999999999997,Male,No,Sun,Dinner,2
43,9.68,1.71,Male,No,Sun,Dinner,2
44,30.4,5.99,Male,No,Sun,Dinner,4
45,18.29,3.3899999999999997,Male,No,Sun,Dinner,2
46,22.23,5.39,Male,No,Sun,Dinner,2
47,32.4,6.39,Male,No,Sun,Dinner,4
48,28.55,2.44,Male,No,Sun,Dinner,3
49,18.04,3.3899999999999997,Male,No,Sun,Dinner,2
50,12.54,2.8899999999999997,Male,No,Sun,Dinner,2
51,10.29,2.4,Female,No,Sun,Dinner,2
52,34.81,5.0,Female,No,Sun,Dinner,4
53,9.94,1.95,Male,No,Sun,Dinner,2
54,25.56,4.7299999999999995,Male,No,Sun,Dinner,4
55,19.49,3.9,Male,No,Sun,Dinner,2
56,38.01,3.3899999999999997,Male,Yes,Sat,Dinner,4
57,26.41,1.3,Female,No,Sat,Dinner,2
58,11.24,2.15,Male,Yes,Sat,Dinner,2
59,48.27,7.12,Male,No,Sat,Dinner,4
60,20.29,3.5999999999999996,Male,Yes,Sat,Dinner,2
61,13.81,2.3899999999999997,Male,Yes,Sat,Dinner,2
62,11.02,2.3699999999999997,Male,Yes,Sat,Dinner,2
63,18.29,4.15,Male,Yes,Sat,Dinner,4
64,17.59,3.03,Male,No,Sat,Dinner,3
65,20.08,3.54,Male,No,Sat,Dinner,3
66,16.45,2.27,Female,No,Sat,Dinner,2
67,3.07,0.8,Female,Yes,Sat,Dinner,1
68,20.23,2.4,Male,No,Sat,Dinner,2
69,15.01,2.48,Male,Yes,Sat,Dinner,2
70,12.02,2.36,Male,No,Sat,Dinner,2
71,17.07,2.8,Female,No,Sat,Dinner,3
72,26.86,2.94,Female,Yes,Sat,Dinner,2
73,25.28,4.8,Female,Yes,Sat,Dinner,2
74,14.73,2.0,Female,No,Sat,Dinner,2
75,10.51,1.6400000000000001,Male,No,Sat,Dinner,2
76,17.92,3.4699999999999998,Male,Yes,Sat,Dinner,2
77,27.2,4.39,Male,No,Thur,Lunch,4
78,22.76,3.3899999999999997,Male,No,Thur,Lunch,2
79,17.29,3.0999999999999996,Male,No,Thur,Lunch,2
80,19.44,3.3899999999999997,Male,Yes,Thur,Lunch,2
81,16.66,3.79,Male,No,Thur,Lunch,2
82,10.07,1.6300000000000001,Female,No,Thur,Lunch,1
83,32.68,5.39,Male,Yes,Thur,Lunch,2
84,15.98,2.42,Male,No,Thur,Lunch,2
85,34.83,4.97,Female,No,Thur,Lunch,4
86,13.03,2.3899999999999997,Male,No,Thur,Lunch,2
87,18.28,4.39,Male,No,Thur,Lunch,2
88,24.71,6.24,Male,No,Thur,Lunch,2
89,21.16,3.3899999999999997,Male,No,Thur,Lunch,2
90,28.97,3.3899999999999997,Male,Yes,Fri,Dinner,2
91,22.49,3.8899999999999997,Male,No,Fri,Dinner,2
92,5.75,0.8,Female,Yes,Fri,Dinner,2
93,16.32,4.1,Female,Yes,Fri,Dinner,2
94,22.75,3.05,Female,No,Fri,Dinner,2
95,40.17,5.12,Male,Yes,Fri,Dinner,4
96,27.28,4.39,Male,Yes,Fri,Dinner,2
97,12.03,1.8900000000000001,Male,Yes,Fri,Dinner,2
98,21.01,3.3899999999999997,Male,Yes,Fri,Dinner,2
99,12.46,1.8900000000000001,Male,No,Fri,Dinner,2
100,11.35,2.3,Female,Yes,Fri,Dinner,2
101,15.38,2.8,Female,Yes,Fri,Dinner,2
102,44.3,2.3,Female,Yes,Sat,Dinner,3
103,22.42,3.28,Female,Yes,Sat,Dinner,2
104,20.92,3.88,Female,No,Sat,Dinner,2
105,15.36,2.03,Male,Yes,Sat,Dinner,2
106,20.49,4.45,Male,Yes,Sat,Dinner,2
107,25.21,4.68,Male,Yes,Sat,Dinner,2
108,18.24,4.15,Male,No,Sat,Dinner,2
109,14.31,3.8,Female,Yes,Sat,Dinner,2
110,14.0,3.3899999999999997,Male,No,Sat,Dinner,2
111,7.25,0.8,Female,No,Sat,Dinner,1
112,38.07,4.39,Male,No,Sun,Dinner,3
113,23.95,2.94,Male,No,Sun,Dinner,2
114,25.71,3.8,Female,No,Sun,Dinner,3
115,17.31,3.3,Female,No,Sun,Dinner,2
116,29.93,5.46,Male,No,Sun,Dinner,4
117,10.65,1.3,Female,No,Thur,Lunch,2
118,12.43,1.6,Female,No,Thur,Lunch,2
119,24.08,2.7199999999999998,Female,No,Thur,Lunch,4
120,11.69,2.6999999999999997,Male,No,Thur,Lunch,2
121,13.42,1.48,Female,No,Thur,Lunch,2
122,14.26,2.8899999999999997,Male,No,Thur,Lunch,2
123,15.95,2.3899999999999997,Male,No,Thur,Lunch,2
124,12.48,2.32,Female,No,Thur,Lunch,2
125,29.8,4.0,Female,No,Thur,Lunch,6
126,8.52,1.87,Male,No,Thur,Lunch,2
127,14.52,1.8,Female,No,Thur,Lunch,2
128,11.38,1.8,Female,No,Thur,Lunch,2
129,22.82,2.57,Male,No,Thur,Lunch,3
130,19.08,1.8900000000000001,Male,No,Thur,Lunch,2
131,20.27,2.63,Female,No,Thur,Lunch,2
132,11.17,1.3,Female,No,Thur,Lunch,2
133,12.26,1.8,Female,No,Thur,Lunch,2
134,18.26,3.05,Female,No,Thur,Lunch,2
135,8.51,1.05,Female,No,Thur,Lunch,2
136,10.33,1.8,Female,No,Thur,Lunch,2
137,14.15,1.8,Female,No,Thur,Lunch,2
138,16.0,2.3899999999999997,Male,Yes,Thur,Lunch,2
139,13.16,2.55,Female,No,Thur,Lunch,2
140,17.47,3.3,Female,No,Thur,Lunch,2
141,34.3,7.09,Male,No,Thur,Lunch,6
142,41.19,5.39,Male,No,Thur,Lunch,5
143,27.05,4.8,Female,No,Thur,Lunch,6
144,16.43,2.0999999999999996,Female,No,Thur,Lunch,2
145,8.35,1.3,Female,No,Thur,Lunch,2
146,18.64,1.1600000000000001,Female,No,Thur,Lunch,3
147,11.87,1.43,Female,No,Thur,Lunch,2
148,9.78,2.12,Male,No,Thur,Lunch,2
149,7.51,2.3899999999999997,Male,No,Thur,Lunch,2
150,14.07,2.8899999999999997,Male,No,Sun,Dinner,2
151,13.13,2.3899999999999997,Male,No,Sun,Dinner,2
152,17.26,3.13,Male,No,Sun,Dinner,3
153,24.55,2.3899999999999997,Male,No,Sun,Dinner,4
154,19.77,2.3899999999999997,Male,No,Sun,Dinner,4
155,29.85,4.9399999999999995,Female,No,Sun,Dinner,5
156,48.17,5.39,Male,No,Sun,Dinner,6
157,25.0,3.55,Female,No,Sun,Dinner,4
158,13.39,2.4099999999999997,Female,No,Sun,Dinner,2
159,16.49,2.3899999999999997,Male,No,Sun,Dinner,4
160,21.5,3.8899999999999997,Male,No,Sun,Dinner,4
161,12.66,2.8899999999999997,Male,No,Sun,Dinner,2
162,16.21,1.8,Female,No,Sun,Dinner,3
163,13.81,2.3899999999999997,Male,No,Sun,Dinner,2
164,17.51,2.8,Female,Yes,Sun,Dinner,2
165,24.52,3.8699999999999997,Male,No,Sun,Dinner,3
166,20.76,2.63,Male,No,Sun,Dinner,2
167,31.71,4.89,Male,No,Sun,Dinner,4
168,10.59,1.4100000000000001,Female,Yes,Sat,Dinner,2
169,10.63,1.8,Female,Yes,Sat,Dinner,2
170,50.81,10.39,Male,Yes,Sat,Dinner,3
171,15.81,3.55,Male,Yes,Sat,Dinner,2
172,7.25,5.54,Male,Yes,Sun,Dinner,2
173,31.85,3.57,Male,Yes,Sun,Dinner,2
174,16.82,4.39,Male,Yes,Sun,Dinner,2
175,32.9,3.5,Male,Yes,Sun,Dinner,2
176,17.89,2.3899999999999997,Male,Yes,Sun,Dinner,2
177,14.48,2.3899999999999997,Male,Yes,Sun,Dinner,2
178,9.6,3.8,Female,Yes,Sun,Dinner,2
179,34.63,3.94,Male,Yes,Sun,Dinner,2
180,34.65,4.07,Male,Yes,Sun,Dinner,4
181,23.33,6.04,Male,Yes,Sun,Dinner,2
182,45.35,3.8899999999999997,Male,Yes,Sun,Dinner,3
183,23.17,6.89,Male,Yes,Sun,Dinner,4
184,40.55,3.3899999999999997,Male,Yes,Sun,Dinner,2
185,20.69,5.39,Male,No,Sun,Dinner,5
186,20.9,3.3,Female,Yes,Sun,Dinner,3
187,30.46,2.3899999999999997,Male,Yes,Sun,Dinner,5
188,18.15,3.3,Female,Yes,Sun,Dinner,3
189,23.1,4.39,Male,Yes,Sun,Dinner,3
190,15.69,1.8900000000000001,Male,Yes,Sun,Dinner,2
191,19.81,3.99,Female,Yes,Thur,Lunch,2
192,28.44,2.9499999999999997,Male,Yes,Thur,Lunch,2
193,15.48,2.4099999999999997,Male,Yes,Thur,Lunch,2
194,16.58,4.39,Male,Yes,Thur,Lunch,2
195,7.56,1.83,Male,No,Thur,Lunch,2
196,10.34,2.3899999999999997,Male,Yes,Thur,Lunch,2
197,43.11,4.8,Female,Yes,Thur,Lunch,4
198,13.0,1.8,Female,Yes,Thur,Lunch,2
199,13.51,2.3899999999999997,Male,Yes,Thur,Lunch,2
200,18.71,4.39,Male,Yes,Thur,Lunch,3
201,12.74,1.8099999999999998,Female,Yes,Thur,Lunch,2
202,13.0,1.8,Female,Yes,Thur,Lunch,2
203,16.4,2.3,Female,Yes,Thur,Lunch,2
204,20.53,4.39,Male,Yes,Thur,Lunch,4
205,16.47,3.03,Female,Yes,Thur,Lunch,3
206,26.59,3.8,Male,Yes,Sat,Dinner,3
207,38.73,3.3899999999999997,Male,Yes,Sat,Dinner,4
208,24.27,2.42,Male,Yes,Sat,Dinner,2
209,12.76,2.03,Female,Yes,Sat,Dinner,2
210,30.06,2.3899999999999997,Male,Yes,Sat,Dinner,3
211,25.89,5.55,Male,Yes,Sat,Dinner,4
212,48.33,9.39,Male,No,Sat,Dinner,4
213,13.27,2.3,Female,Yes,Sat,Dinner,2
214,28.17,6.3,Female,Yes,Sat,Dinner,3
215,12.9,0.9000000000000001,Female,Yes,Sat,Dinner,2
216,28.15,3.3899999999999997,Male,Yes,Sat,Dinner,5
217,11.59,1.8900000000000001,Male,Yes,Sat,Dinner,2
218,7.74,1.83,Male,Yes,Sat,Dinner,2
219,30.14,2.8899999999999997,Female,Yes,Sat,Dinner,4
220,12.16,2.59,Male,Yes,Fri,Lunch,2
221,13.42,3.28,Female,Yes,Fri,Lunch,2
222,8.58,2.3099999999999996,Male,Yes,Fri,Lunch,1
223,15.98,2.8,Female,No,Fri,Lunch,3
224,13.42,1.9700000000000002,Male,Yes,Fri,Lunch,2
225,16.27,2.3,Female,Yes,Fri,Lunch,2
226,10.09,1.8,Female,Yes,Fri,Lunch,2
227,20.45,3.3899999999999997,Male,No,Sat,Dinner,4
228,13.28,3.11,Male,No,Sat,Dinner,2
229,22.12,2.6799999999999997,Female,Yes,Sat,Dinner,2
230,24.01,2.3899999999999997,Male,Yes,Sat,Dinner,4
231,15.69,3.3899999999999997,Male,Yes,Sat,Dinner,3
232,11.61,3.78,Male,No,Sat,Dinner,2
233,10.77,1.86,Male,No,Sat,Dinner,2
234,15.53,3.3899999999999997,Male,Yes,Sat,Dinner,2
235,10.07,1.6400000000000001,Male,No,Sat,Dinner,2
236,12.6,1.3900000000000001,Male,Yes,Sat,Dinner,2
237,32.83,1.56,Male,Yes,Sat,Dinner,2
238,35.83,4.47,Female,No,Sat,Dinner,3
239,29.03,6.31,Male,No,Sat,Dinner,3
240,27.18,1.8,Female,Yes,Sat,Dinner,2
241,22.67,2.3899999999999997,Male,Yes,Sat,Dinner,2
242,17.82,2.14,Male,No,Sat,Dinner,2
243,18.78,2.8,Female,No,Thur,Dinner,2
